NA,seedMass,LDMC,SLA,LNC,LCC,LPC,SDMC,circularity,vegetativeHeight,leafLength,leafThickness,leafWidth,petioleLength,Lifeform,photosyntheticPathway,adventitious,primary,bulbs,corms,fibrous,rhizomes,stolons,tubers,habitClean,nFixer,lifeCycleCoded,floweringStartcoded,wis_IL,genome_Use
Lespedeza_capitata,1.6939,45.7,17.4,1.99,47.36,0.14,519.1,0.17,111.5,3.56,0.23,2.9,0.94,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,1,3,7,FACU,2
Liatris_aspera,2.1,372.4,12.3,1.66,43.6,0.15,378.3,0.18,70.63,6.02,0.32,0.59,NA,geophytes,C3,1,0,0,1,0,0,0,0,F,0,3,8,UPL,3.4
Liatris_pycnostachya,1.381,365.6,117.9,1.49,43.22,NA,36.7,0.1,82.16,7.13,0.28,0.3,NA,geophytes,C3,1,0,0,1,0,0,0,0,F,0,3,7,FAC,3.8
Liatris_scariosa,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,0,0,0,0,0,0,0,0,F,0,3,8,UPL,NA
Liatris_spicata,3.5806,324.1,NA,NA,NA,NA,433.2,NA,119.1,NA,0.14,NA,NA,NA,C3,1,0,0,1,0,0,0,0,F,0,3,7,FAC,NA
Lilium_michiganense,4.79,187.1,176,1.83,48.25,NA,242.6,0.34,69.7,5.83,0.38,1.09,NA,geophytes,C3,1,0,0,0,0,1,0,0,F,0,3,7,FACW,96.3
Lobelia_spicata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,0,1,0,0,0,0,0,0,F,0,3,7,FAC,NA
Maianthemum_racemosum,32.9619,193,327,2.23,44.34,0.19,244,0.57,21.83,10.93,0.23,4.19,0.92,chamaephytes,C3,1,0,0,0,0,1,0,0,F,0,3,5,FACU,55.8
Maianthemum_stellatum,17.2565,187,31,2.48,45.01,NA,281,0.39,24.17,9.09,0.23,1.87,NA,geophytes,C3,1,0,0,0,0,1,0,0,F,0,3,5,FAC,29.6
Monarda_bradburiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,1,1,0,0,0,1,0,0,F,0,3,4,UPL,NA
Monarda_fistulosa,0.2464,363.8,154.2,1.7,44.77,0.15,434.9,0.4,88.76,5.62,0.26,2.25,9.19,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,7,FACU,1.9
Oenothera_pilosella,0.648,NA,NA,NA,NA,NA,NA,NA,60.96,NA,NA,NA,NA,NA,C3,0,0,0,0,0,0,0,0,F,0,3,5,FAC,NA
Packera_aurea,0.2556,NA,NA,NA,NA,NA,170.5,NA,43.21,4.97,0.22,4.15,28.16,hemicryptophytes,C3,1,0,0,0,0,1,1,0,F,0,3,5,FACW,3.4
Panicum_virgatum,0.7223,529.3,113.5,1.57,44.32,NA,477.4,0.05,109.97,34.58,0.22,0.87,NA,hemicryptophytes,C4,1,0,0,0,0,1,0,0,G,0,3,8,FAC,4.4
Parthenium_integrifolium,0.9682,243.4,133.6,2.18,44.28,NA,184.4,0.61,81.7,17.54,0.42,7.9,41.5,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,7,UPL,11.2
Penstemon_digitalis,0.2451,317.6,118.9,1.28,45.52,NA,291.2,0.35,67.72,11.84,0.23,3.03,NA,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,5,FAC,5.2
Penstemon_hirsutus,0.1411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,0,1,0,0,0,0,0,0,F,0,3,6,UPL,NA
Phlox_pilosa,1.1595,299.9,148.6,2.04,41.2,NA,364.9,0.22,27.56,4.36,0.35,0.49,NA,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,4,FACU,9.6
Physostegia_virginiana,2.6,316,72.9,NA,NA,NA,392.2,0.22,83.08,7.82,0.38,1.24,NA,NA,C3,1,1,0,0,0,1,0,0,F,0,3,5,FACW,NA
Polemonium_reptans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,0,1,0,0,0,0,0,0,F,0,3,4,FAC,12.1
Polygonatum_biflorum,16.175,197,292,2.57,44.57,0.27,215,0.62,58.82,10.89,0.25,3.89,NA,geophytes,C3,1,0,0,0,0,1,0,0,F,0,3,5,FACU,41.6
Potentilla_arguta,0.1145,447.1,11.8,1.22,44.41,NA,351.6,0.04,58.09,15.05,0.46,8.11,106.5,hemicryptophytes,C3,1,1,0,0,0,1,0,0,F,0,3,6,FACU,2.6
Potentilla_simplex,0.1543,227,44,2.53,44.05,NA,25,0.32,18.17,5.03,0.21,6.15,12.27,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,4,FACU,2.6
Pycnanthemum_pilosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,1,1,0,0,0,1,0,0,F,0,3,7,UPL,NA
Pycnanthemum_tenuifolium,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,1,1,0,0,0,1,0,0,F,0,3,6,FAC,NA
Pycnanthemum_verticillatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,1,1,0,0,0,1,0,0,F,0,3,7,UPL,NA
